month,n
2012-03,6229
2012-04,5703
2013-07,9272
2014-01,12616
2014-08,13169
2015-12,12877
2016-06,16054
2016-10,17788
2017-01,20990
2017-03,19741
2017-08,21381
2017-10,20444
2017-11,18980
2017-12,19023
2018-04,24315
2018-05,22321
2018-11,19046
2019-03,23400
2019-08,26043
2020-01,26394
2020-11,41541
2020-12,48375
2021-02,33262
2021-04,39666
2021-06,45732
2021-09,40371
2021-12,45927
2022-01,53231
2022-03,61897
2022-04,72244
2022-05,60377
2022-06,61872
2022-07,64440
2022-08,69259
2022-09,65782
2022-10,75793
2022-11,77040
2023-01,93933
2023-02,86540
2023-03,36257
2023-04,1
2023-05,1
2023-06,1
2023-07,8
2023-08,19
2023-09,7
2023-10,13
2023-11,80702
2024-01,143369
2024-02,157615
2024-03,177815
2024-04,191121
2024-05,211967
2024-06,204173
2024-07,232654
2024-08,263815
2024-09,264821
2024-10,295879
2024-11,287082
2024-12,303980
2025-01,475785
2025-02,335240
2025-03,396977
2025-04,406110
2025-05,415210
2025-06,412179
2025-07,473222
2025-08,495596
2025-09,503859
2025-10,519810
2025-11,496703
2025-12,512693
2026-01,542066
2026-02,522408
2026-03,616398
2026-04,622656
2026-05,659066
2026-06,784507
2026-07,580366
2014-07,13402
2015-02,12657
2016-01,13827
2016-08,17680
2016-09,17559
2017-06,18546
2018-02,21959
2018-07,20945
2018-09,19064
2018-10,21883
2019-01,18927
2019-10,25624
2019-11,22641
2020-05,36987
2021-03,41172
2021-10,39295
2023-12,123066
2013-01,9741
2013-05,8170
2014-04,13834
2015-03,14489
2016-11,15194
2017-09,27336
2018-06,20093
2018-08,21710
2020-03,29480
2011-12,2536
2012-01,3230
2012-02,3509
2012-05,7614
2012-06,7841
2012-07,6755
2012-08,6877
2012-09,5492
2012-10,6741
2012-11,6139
2012-12,6238
2013-02,8349
2013-03,8785
2013-04,8632
2013-06,8035
2013-08,9564
2013-09,9636
2013-10,9240
2013-11,9318
2013-12,9474
2014-02,13046
2014-03,13940
2014-05,12158
2014-06,12508
2014-09,12454
2014-10,12882
2014-11,11243
2014-12,11658
2015-01,12608
2015-04,13729
2015-05,13671
2015-06,14502
2015-07,15895
2015-08,15756
2015-09,14320
2015-10,14879
2015-11,12890
2016-02,14131
2016-03,16599
2016-04,15595
2016-05,15510
2016-07,16032
2016-12,15325
2017-02,18078
2017-04,18533
2017-05,19278
2017-07,20418
2018-01,23633
2018-03,23620
2018-12,18544
2019-02,20194
2019-04,22905
2019-05,23841
2019-06,23335
2019-07,25070
2019-09,23565
2019-12,21696
2020-02,25079
2020-04,34794
2020-06,37888
2020-07,40639
2020-08,39187
2020-09,39875
2020-10,43975
2021-01,42475
2021-05,41312
2021-07,45075
2021-08,42584
2021-11,39069
2022-02,53185
2022-12,85146
